Presents	O
a	O
good	O
case	O
while	O
failing	O
to	O
provide	O
a	O
reason	O
for	O
us	O
to	O
care	O
beyond	O
the	O
very	O
basic	O
dictums	O
of	O
human	O
decency	O
.	O

Beautifully	O
crafted	O
,	O
engaging	O
filmmaking	O
that	O
should	O
attract	O
upscale	O
audiences	O
hungry	O
for	O
quality	O
and	O
a	O
nostalgic	O
,	O
twisty	O
yarn	O
that	O
will	O
keep	O
them	O
guessing	O
.	O

Bread	O
,	O
My	O
Sweet	O
has	O
so	O
many	O
flaws	O
it	O
would	O
be	O
easy	O
for	O
critics	O
to	O
shred	O
it	O
.	O

Slow	O
,	O
silly	O
and	O
unintentionally	O
hilarious	O
.	O

Ultimately	O
feels	O
emp11111ty	O
and	O
unsatisfying	O
,	O
like	O
swallowing	O
a	O
Communion	O
wafer	O
without	O
the	O
wine	O
.	O

Exudes	O
the	O
fizz	O
of	O
a	O
Busby	B-PER
Berkeley	I-PER
musical	O
and	O
the	O
visceral	O
excitement	O
of	O
a	O
sports	O
extravaganza	O
.	O

The	O
film	O
rehashes	O
several	O
old	O
themes	O
and	O
is	O
capped	O
with	O
pointless	O
extremes	O
--	O
it	O
's	O
insanely	O
violent	O
and	O
very	O
graphic	O
.	O

Ryan	B-PER
Gosling	I-PER
is	O
,	O
in	O
a	O
word	O
,	O
brilliant	O
as	O
the	O
conflicted	O
Daniel	B-PER
.	O

If	O
Deuces	O
Wild	O
had	O
been	O
tweaked	O
up	O
a	O
notch	O
it	O
would	O
have	O
become	O
a	O
camp	O
adventure	O
,	O
one	O
of	O
those	O
movies	O
that	O
's	O
so	O
bad	O
it	O
starts	O
to	O
become	O
good	O
.	O

The	O
film	O
's	O
stagecrafts	O
are	O
intimate	O
and	O
therefore	O
bolder	O
than	O
the	O
otherwise	O
calculated	O
artifice	O
that	O
defines	O
and	O
overwhelms	O
the	O
film	O
's	O
production	O
design	O
.	O

Frida	B-PER
is	O
certainly	O
no	O
disaster	O
,	O
but	O
neither	O
is	O
it	O
the	O
Kahlo	B-PER
movie	O
Frida	B-PER
fans	O
have	O
been	O
looking	O
for	O
.	O

The	O
film	O
often	O
achieves	O
a	O
mesmerizing	O
poetry	O
.	O

A	O
work	O
of	O
astonishing	O
delicacy	O
and	O
force	O
.	O

The	O
movie	O
's	O
plot	O
is	O
almost	O
entirely	O
witless	O
and	O
inane	O
,	O
carrying	O
every	O
gag	O
two	O
or	O
three	O
times	O
beyond	O
its	O
limit	O
to	O
sustain	O
a	O
laugh	O
.	O

For	O
the	O
most	O
part	O
,	O
the	O
ingredients	O
are	O
there	O
.	O

But	O
if	O
you	O
've	O
paid	O
a	O
matinee	O
price	O
and	O
bought	O
a	O
big	O
tub	O
of	O
popcorn	O
,	O
there	O
's	O
guilty	O
fun	O
to	O
be	O
had	O
here	O
.	O

There	O
's	O
not	O
much	O
to	O
Fatale	O
,	O
outside	O
of	O
its	O
stylish	O
surprises	O
.	O
but	O
that	O
's	O
OK.	O

The	O
acting	O
is	O
stiff	O
,	O
